id,question,choice1,choice2,choice3,choice4,choice5,choice6,solution
1,Which cell completes the pattern?,A,B,C,D,E,F,B
2,Which cell completes the pattern?,A,B,C,D,E,F,C
3,Which cell completes the pattern?,A,B,C,D,E,F,B
4,Which cell completes the pattern?,A,B,C,D,E,F,D
5,Which cell completes the pattern?,A,B,C,D,E,F,C
6,Which cell completes the pattern?,A,B,C,D,E,F,F
7,Which cell completes the pattern?,A,B,C,D,E,F,A
8,Which cell completes the pattern?,A,B,C,D,E,F,E
9,Which cell completes the pattern?,A,B,C,D,E,F,B
10,Which cell completes the pattern?,A,B,C,D,E,F,B
11,Which cell completes the pattern?,A,B,C,D,E,F,D
12,Which cell completes the pattern?,A,B,C,D,E,F,B
13,Which cell completes the pattern?,A,B,C,D,E,F,A
14,Which cell completes the pattern?,A,B,C,D,E,F,E
15,Which cell completes the pattern?,A,B,C,D,E,F,C
16,Which cell completes the pattern?,A,B,C,D,E,F,F
17,Which cell completes the pattern?,A,B,C,D,E,F,D
18,Which cell completes the pattern?,A,B,C,D,E,F,E
19,Which cell completes the pattern?,A,B,C,D,E,F,D
20,Which cell completes the pattern?,A,B,C,D,E,F,D
21,Which cell completes the pattern?,A,B,C,D,E,F,E
22,Which cell completes the pattern?,A,B,C,D,E,F,D
23,Which cell completes the pattern?,A,B,C,D,E,F,C
24,Which cell completes the pattern?,A,B,C,D,E,F,E
25,Which cell completes the pattern?,A,B,C,D,E,F,F
26,Which cell completes the pattern?,A,B,C,D,E,F,B
27,Which cell completes the pattern?,A,B,C,D,E,F,A
28,Which cell completes the pattern?,A,B,C,D,E,F,B
29,Which cell completes the pattern?,A,B,C,D,E,F,C
