id,question,choice1,choice2,choice3,choice4,choice5,choice6,solution
1,How do you complete the sequence?,A,B,C,D,E,F,A
2,How do you complete the sequence?,A,B,C,D,E,F,A
3,How do you complete the sequence?,A,B,C,D,E,F,A
4,How do you complete the sequence?,A,B,C,D,E,F,A
5,How do you complete the sequence?,A,B,C,D,E,F,A
6,How do you complete the sequence?,A,B,C,D,E,F,A
7,How do you complete the sequence?,A,B,C,D,E,F,A
8,How do you complete the sequence?,A,B,C,D,E,F,A
9,How do you complete the sequence?,A,B,C,D,E,F,A
10,How do you complete the sequence?,A,B,C,D,E,F,A
11,How do you complete the sequence?,A,B,C,D,E,F,A
12,How do you complete the sequence?,A,B,C,D,E,F,A
13,How do you complete the sequence?,A,B,C,D,E,F,A
14,How do you complete the sequence?,A,B,C,D,E,F,A
15,How do you complete the sequence?,A,B,C,D,E,F,A
16,How do you complete the sequence?,A,B,C,D,E,F,A
17,How do you complete the sequence?,A,B,C,D,E,F,A
18,How do you complete the sequence?,A,B,C,D,E,F,A
19,How do you complete the sequence?,A,B,C,D,E,F,A
20,How do you complete the sequence?,A,B,C,D,E,F,A
